Country,HDI rank,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Human Development Group,region,sub-region,GINI coefficient,Internet users (per 100 people),"Labor force, female (% of total labor force)",Military expenditure (% of GDP),Pop growth (annual %),Pop density (people per sq. km of land area),Pop ages 0-14 (% of total),Pop ages 15-64 (% of total),Pop ages 65+ (% of total),"Pop, total",Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Rural population (% of total pop),"Unemployment, total (% of total labor force)","Fertility rate, total (births per woman)"
Tajikistan,129,0.624,69.4,11.2,10.4,2517,Medium,Asia,Central Asia,32.6,17.49,43.32151361,1.128380097,2.242280464,59.27293512,34.9258544,62.01816814,3.055977454,8295840,2026,725,73.308,10.89999962,3.49
India,130,0.609,68,11.7,5.4,5497,Medium,Asia,Southern Asia,33.6,18,24.17184695,2.488157921,1.226730296,435.6571706,29.21279677,65.29889874,5.488304497,1295291543,199937,10436,67.634,3.599999905,2.427
Honduras,131,0.606,73.1,11.1,5.5,3938,Medium,Americas,Central America,57.7,19.08,34.63573332,1.636867306,1.424638087,71.15631424,32.52932798,62.73487505,4.735796967,7961680,26,4159,45.863,3.900000095,2.382
Bhutan,132,0.605,69.5,12.6,3,7176,Medium,Asia,Southern Asia,38.7,34.37,41.47087425,,1.364945236,20.06999502,27.43605296,67.60883546,4.955111581,765008,,23642,62.102,2.799999952,2.027
Timor-Leste,133,0.595,68.2,11.7,4.4,5363,Medium,Asia,South-Eastern Asia,31.9,1.14,32.04563848,2.160486212,2.678725623,81.5135844,42.28718808,52.22065736,5.492154559,1212107,0,13,67.869,4.699999809,5.1
Syrian Arab Republic,134,0.594,69.6,12.3,6.3,2728,Medium,Asia,Western Asia,,28.09,15.51061882,,-2.888301216,102.2299243,36.81318948,59.2559023,3.930908227,18772481,677756,3887491,42.745,10.80000019,2.95
Vanuatu,134,0.594,71.9,10.6,6.8,2803,Medium,Oceania,Melanesia,,18.8,43.64132877,,2.233477212,21.23732568,36.77761769,59.11319013,4.109192183,258883,0,1,74.183,,3.347
Congo,136,0.591,62.3,11.1,6.1,6012,Medium,Africa,Middle Africa,,,,,,,,,,,,,,,
Kiribati,137,0.59,66,12.3,7.8,2434,Medium,Oceania,Micronesia,,12.25,,,1.758837015,136.382716,35.00950484,61.33882502,3.651670137,110470,,3,55.827,,3.73
Equatorial Guinea,138,0.587,57.6,9,5.5,21056,Medium,Africa,Middle Africa,,18.86,44.83188131,1.072396353,2.942546724,29.26506239,39.42391443,57.7139307,2.862154869,820885,0,174,60.244,7.900000095,4.835
Zambia,139,0.586,60.1,13.5,6.6,3734,Medium,Africa,Eastern Africa,57.5,17.34,46.43872719,1.634832349,3.069640155,21.1481766,46.09241081,50.98862737,2.918961822,15721343,25578,316,59.528,13.30000019,5.353
Ghana,140,0.579,61.4,11.5,7,3852,Medium,Africa,Western Africa,42.3,18.9,49.71098581,0.47904247,2.350075661,117.7225894,38.91444147,57.65882625,3.426732279,26786598,18450,22145,46.608,2.400000095,4.168
Lao People's Democratic Republic,141,0.575,66.2,10.6,5,4680,Medium,Asia,South-Eastern Asia,,,,,,,,,,,,,,,
Bangladesh,142,0.57,71.6,10,5.1,3191,Medium,Asia,Southern Asia,32.1,9.6,40.41303888,0.00137178,1.214377385,1222.075079,29.97640968,65.06777611,4.955814214,159077513,32472,10883,66.484,4.300000191,2.175
Cambodia,143,0.555,68.4,10.9,4.4,2949,Medium,Asia,South-Eastern Asia,37.9,9,49.82104875,1.658979246,1.641596126,86.8351235,31.80410195,64.18091541,4.014982644,15328136,63,13071,79.486,0.400000006,2.635
Sao Tome and Principe,143,0.555,66.5,11.3,4.7,2918,Medium,Africa,Middle Africa,,24.41,37.64988376,,2.145837472,194.10625,42.85292634,53.95884986,3.188223804,186342,0,22,35.489,,4.576
Kenya,145,0.548,61.6,11,6.3,2762,Low,Africa,Eastern Africa,42.5,43.4,46.54119363,1.334044705,2.644121396,78.82697227,42.12515527,55.11824368,2.75660105,44863583,551352,8553,74.803,9.199999809,4.334
Nepal,145,0.548,69.6,12.4,3.3,2311,Low,Asia,Southern Asia,32.8,15.44,50.851686,1.607012995,1.213172492,196.5449878,33.51585982,61.09662334,5.38751684,28174724,38490,8563,81.757,2.700000048,2.222
Pakistan,147,0.538,66.2,7.8,4.7,4866,Low,Asia,Southern Asia,29.6,13.8,22.25730324,3.490551462,2.103437242,240.0429198,35.18892499,60.32014412,4.49093089,185044286,1505525,335961,61.697,5.199999809,3.617
